avg_income,CAMPUS_VISIT,CAMPUS_VISIT_2,CONTACT_CODE1,Contact_Date,Contact_Month,Contact_Year,distance,Target_Enroll,ETHNICITY,hscrat,ID,init_span,Instate,int1rat,int2rat,interest,IRSCHOOL,LEVEL_YEAR,mailq,premiere,REFERRAL_CNTCTS,satscore,SELF_INIT_CNTCTS,sex,SOLICITED_CNTCTS,telecq,TERRITORY,TOTAL_CONTACTS,TRAVEL_INIT_CNTCTS
,0,0,EML,01,Sep,2012,,0,,0.037651631,32,48,N,0.017182746,0.020380002,0,,FR04,5,0,0,,1,1,0,,N,1,0
,0,0,SAT,12,Feb,2014,,0,N,0.037651631,51,31,N,0.017182746,0.020380002,0,,FR04,5,0,0,,1,1,0,,N,1,0
,0,0,C01,16,Jan,2015,,0,C,0.037651631,120,20,N,0.017182746,0.020380002,0,,FR04,5,0,0,,0,1,1,,N,1,0
,0,0,EML,11,Mar,2015,,0,,0.037651631,151,18,N,0.017182746,0.020380002,0,,FR04,5,0,0,,1,0,0,,N,1,0
,0,0,TFL,28,Mar,2015,,0,B,0.037651631,160,18,N,0.017182746,0.020380002,0,,FR04,5,0,0,1090,2,1,0,,N,2,0
,0,0,PCR,28,Mar,2015,,0,N,0.037651631,166,18,N,0.017182746,0.020380002,0,,FR04,5,0,0,,1,0,1,,N,2,0
,0,0,EML,06,May,2015,,0,,0.037651631,212,16,N,0.017182746,0.020380002,0,,FR04,5,0,0,,1,0,0,,N,1,0
,0,0,SAT,23,Jun,2015,,0,N,0.037651631,246,15,N,0.017182746,0.020380002,0,,FR04,5,0,0,1210,2,0,0,,N,2,0
,0,0,EML,14,Jul,2015,,0,,0.037651631,288,14,N,0.017182746,0.020380002,0,,FR04,5,0,0,,1,,0,,N,1,0
,0,0,EML,16,Jul,2015,,0,,0.037651631,303,14,N,0.017182746,0.020380002,0,,FR04,5,0,0,,1,0,0,,N,1,0
,0,0,EML,29,Jul,2015,,0,N,0.037651631,312,14,N,0.017182746,0.020380002,0,,FR04,5,0,0,,2,,0,,N,2,0
,0,0,EML,12,Aug,2015,,0,,0.037651631,325,13,N,0.017182746,0.020380002,0,,FR04,5,0,0,,1,0,0,,N,1,0
,0,0,EML,19,Aug,2015,,0,,0.037651631,348,13,N,0.017182746,0.020380002,0,,FR04,5,0,0,,1,,0,,N,1,0
,0,0,EML,05,Sep,2015,,0,,0.037651631,375,12,N,0.017182746,0.020380002,0,,FR04,5,0,0,,1,,0,,N,1,0
,0,0,TFL,10,Sep,2015,,0,,0.037651631,378,12,N,0.017182746,0.020380002,0,,FR04,5,0,0,,1,,0,,N,1,0
,0,0,EML,17,Sep,2015,,0,,0.037651631,384,12,N,0.017182746,0.020380002,0,,FR04,5,0,0,,1,,0,,N,1,0
,0,0,SAT,17,Nov,2015,,0,H,0.037651631,454,10,N,0.017182746,0.020380002,0,,FR04,5,0,0,850,1,1,0,,N,1,0
,0,0,LTR,17,Dec,2015,,0,,0.037651631,495,9,N,0.017182746,0.020380002,0,,FR04,5,0,0,,1,1,0,,N,1,0
,0,0,EML,30,Dec,2015,,0,,0.037651631,516,9,N,0.017182746,0.020380002,0,,FR04,5,0,0,,1,1,0,,N,1,0
,0,0,EML,28,Jan,2016,,0,,0.037651631,563,8,N,0.017182746,0.020380002,0,,FR04,5,0,0,,1,,0,,N,1,0
,0,0,EML,30,Mar,2016,,0,,0.037651631,640,6,N,0.017182746,0.020380002,0,,FR04,5,0,0,,1,0,0,,N,1,0
,0,0,EML,13,Apr,2016,,0,,0.037651631,649,5,N,0.017182746,0.020380002,0,,FR04,5,0,0,,1,1,0,,N,1,0
,0,0,EML,26,Aug,2015,,0,,0.037651631,703,13,N,0,0.020380002,0,,FR04,5,0,0,,1,,0,,N,1,0
,0,0,N08,16,Apr,2014,,0,B,0.037651631,705,29,N,0.009195402,0.020380002,0,,FR04,5,0,0,,0,1,1,,N,1,0
,0,0,EML,15,Sep,2015,,0,,0.037651631,783,12,N,0.002012072,0.020380002,0,,FR04,5,0,0,,1,0,0,,N,1,0
,0,0,EML,19,Aug,2015,,0,,0.037651631,814,13,N,0,0.020380002,0,,FR04,5,0,0,,1,0,0,,N,1,0
,0,0,LMI,12,Aug,2015,,0,A,0.037651631,858,13,N,0.00729927,0.020380002,0,,FR04,5,0,0,,4,0,0,,N,4,0
,0,0,EML,16,Jul,2015,,0,,0.037651631,894,14,N,0.069767442,0.020380002,0,,FR04,5,0,0,,1,0,0,,N,1,0
